"GISJOIN","CBSA","chg_white_2010_2020","chg_black_2010_2020","chg_aiak_2010_2020","chg_asian_2010_2020","chg_nhpi_2010_2020","chg_other_2010_2020","chg_twoplus_2010_2020"
"G22900","Fort Smith, AR-OK Metro Area",-28405.33,-131.040000000001,1969.02,854.02,-4,1638.98,17927.82
"G23060","Fort Wayne, IN Metro Area",-5531,3055,427,8674,-37,6340,18596
"G23420","Fresno, CA Metro Area",-140467,-816,6394,23971,260,67745,121117
"G23460","Gadsden, AL Metro Area",-5239,-650,291,255,-117,754,3712
"G23540","Gainesville, FL Metro Area",-2137,1778,66,4845,-28,5659,21874
"G23580","Gainesville, GA Metro Area",-2440.53999999999,1383.17,928,1028,-60,4302.03,18328.27
"G24020","Glens Falls, NY Metro Area",-8133,31,72,357,3,560,5226
"G24140","Goldsboro, NC Metro Area",-9693,-2718,199,145,13,1963,4768
"G24220","Grand Forks, ND-MN Metro Area",-2568,2411,156,1142,21,571,4168
"G24300","Grand Junction, CO Metro Area",-3211,216,169,555,47,-57,11261
"G24340","Grand Rapids-Wyoming, MI Metro Area",-1872.69999999995,6094,924,7950,-6,11102,38828.02
"G24500","Great Falls, MT Metro Area",-2318.49000000001,186,517,268,34,613,3788.01
"G24540","Greeley, CO Metro Area",22299.21,2072.03,1458.23,2846,149,9492.13,37865.19
"G24580","Green Bay, WI Metro Area",-2278,2923,921,1808,14,3021,15618
"G24660","Greensboro-High Point, NC Metro Area",-30227.39,22654.99,884.19,10560.2,-17,14899.41,34038.69
"G24780","Greenville, NC Metro Area",-11140.92,2443.11,159.02,433,15,2732.15,6534.05
"G24860","Greenville-Mauldin-Easley, SC Metro Area",21286.9,6456.25999999999,1321.09,5070.73,185.64,15752.61,37341.08
"G25060","Gulfport-Biloxi, MS Metro Area",-3312,10981,266,739,4,2514,12995
"G25180","Hagerstown-Martinsburg, MD-WV Metro Area",-2279,5505,257,1704,33,4491,14993
"G25260","Hanford-Corcoran, CA Metro Area",-21801,-1991,1109,303,141,5004.93,16738
"G25420","Harrisburg-Carlisle, PA Metro Area",-14505,6042,349,15518,77,10337,24470
"G25500","Harrisonburg, VA Metro Area",-3108.75999999999,1718.8,252,865.95,-23,3245.99,7390.76
"G25540","Hartford-West Hartford-East Hartford, CT Metro Area",-120415.41,9279.95000000001,904.99,19957.02,54,20491.98,70879.01
"G25620","Hattiesburg, MS Metro Area",-314.690000000002,4383,80,751,14,1605,4533.06
"G25860","Hickory-Lenoir-Morganton, NC Metro Area",-22681.41,-1692.89,1667,1781,-211,4769.17,15656.11
"G25980","Hinesville-Fort Stewart, GA Metro Area",-3757,1768,8,199,121,725,4443
"G26100","Holland-Grand Haven, MI Metro Area",11158,1588,301,1350,35,2963,15004
"G26180","Honolulu, HI Metro Area",-10270,1467,-160,18443,11221,6950,35650
"G26300","Hot Springs, AR Metro Area",-4143.42,504.53,215,277,26,1467.37,5782.93
"G26380","Houma-Bayou Cane-Thibodaux, LA Metro Area",-13388.03,2008,-426,246,-20,2213,8329.99
"G26420","Houston-Sugar Land-Baytown, TX Metro Area",-610296,214293,35407,205939,1929,411826,943744
"G26580","Huntington-Ashland, WV-KY-OH Metro Area",-20117,-170,-63,495,6,815,7127
"G26620","Huntsville, AL Metro Area",24788,14568,588,2972,150,4713,26351
"G26820","Idaho Falls, ID Metro Area",12572.99,75,472,588,79,2774,7920
"G26900","Indianapolis-Carmel, IN Metro Area",8708,43591,2762,41433,125,34970,93078
"G26980","Iowa City, IA Metro Area",4585,6584,49,1824,-18,2285,7524
"G27060","Ithaca, NY Metro Area",-5284,577,-7,1795,2,1680,5413
"G27100","Jackson, MI Metro Area",-7250,-107,64,356,-3,662,6396
"G27140","Jackson, MS Metro Area",-3815,-4516,228,2193,-24,3045,12067
"G27180","Jackson, TN Metro Area",-4384,297,102,328,-14,811,3599
"G27260","Jacksonville, FL Metro Area",49289,48325,584,21019,487,34148,106400
"G27340","Jacksonville, NC Metro Area",5459.98999999999,358,222,1373,337,4513,14509.99
"G27500","Janesville, WI Metro Area",-7401.79000000001,333.02,362,429,33,1508.98,8096.09
"G27620","Jefferson City, MO Metro Area",-5426,-750,-29,-28,46,601,6088
"G27740","Johnson City, TN Metro Area",-2958,776,140,601,20,1343,8639
"G27780","Johnstown, PA Metro Area",-14944.38,605.87,-12.1,48.55,8,171.95,3920.02
"G27860","Jonesboro, AR Metro Area",-382,5841,57,633,29,1287,5705
"G27900","Joplin, MO Metro Area",-8540,169,624,369,461,2617,10207
"G28020","Kalamazoo-Portage, MI Metro Area",-12418.31,2414,366,1903,11,2982,15410
"G28100","Kankakee-Bradley, IL Metro Area",-11658.54,-1614,146,38,-11,1777,5376.29
