"CBSAA","NAME_E.y","housing_chg"
23580,"Gainesville, GA Metro Area",53000
23620,"Gainesville, TX Micro Area",44000
23660,"Galesburg, IL Micro Area",3300
23700,"Gallup, NM Micro Area",-1600
23780,"Garden City, KS Micro Area",41600
23820,"Gardnerville Ranchos, NV Micro Area",144900
23860,"Georgetown, SC Micro Area",38100
23900,"Gettysburg, PA Metro Area",19200
23940,"Gillette, WY Micro Area",8600
23980,"Glasgow, KY Micro Area",12500
24020,"Glens Falls, NY Metro Area",13100
24060,"Glenwood Springs, CO Micro Area",73100
24100,"Gloversville, NY Micro Area",11900
24140,"Goldsboro, NC Metro Area",15500
24220,"Grand Forks, ND-MN Metro Area",41900
24260,"Grand Island, NE Metro Area",34300
24300,"Grand Junction, CO Metro Area",46000
24340,"Grand Rapids-Kentwood, MI Metro Area",45400
24380,"Grants, NM Micro Area",600
24420,"Grants Pass, OR Metro Area",65600
24460,"Great Bend, KS Micro Area",15900
24500,"Great Falls, MT Metro Area",22300
24540,"Greeley, CO Metro Area",116000
24580,"Green Bay, WI Metro Area",20000
24620,"Greeneville, TN Micro Area",23900
24660,"Greensboro-High Point, NC Metro Area",14500
24700,"Greensburg, IN Micro Area",24400
24740,"Greenville, MS Micro Area",6700
24780,"Greenville, NC Metro Area",11400
24820,"Greenville, OH Micro Area",14800
24860,"Greenville-Anderson, SC Metro Area",32400
24900,"Greenwood, MS Micro Area",13700
24940,"Greenwood, SC Micro Area",28500
24980,"Grenada, MS Micro Area",15200
25020,"Guayama, PR Metro Area",-8700
25060,"Gulfport-Biloxi, MS Metro Area",23000
25100,"Guymon, OK Micro Area",25500
25180,"Hagerstown-Martinsburg, MD-WV Metro Area",23700
25200,"Hailey, ID Micro Area",138900
25220,"Hammond, LA Metro Area",30400
25260,"Hanford-Corcoran, CA Metro Area",57900
25300,"Hannibal, MO Micro Area",24800
25420,"Harrisburg-Carlisle, PA Metro Area",20000
25460,"Harrison, AR Micro Area",22300
25500,"Harrisonburg, VA Metro Area",20500
25540,"Hartford-East Hartford-Middletown, CT Metro Area",7500
25580,"Hastings, NE Micro Area",33400
25620,"Hattiesburg, MS Metro Area",3800
25700,"Hays, KS Micro Area",22500
25720,"Heber, UT Micro Area",247100
25740,"Helena, MT Micro Area",56200
25760,"Helena-West Helena, AR Micro Area",19600
25780,"Henderson, NC Micro Area",5800
25820,"Hereford, TX Micro Area",5100
25840,"Hermiston-Pendleton, OR Micro Area",36300
25860,"Hickory-Lenoir-Morganton, NC Metro Area",18100
25880,"Hillsdale, MI Micro Area",33100
25900,"Hilo, HI Micro Area",62400
25940,"Hilton Head Island-Bluffton, SC Metro Area",42000
25980,"Hinesville, GA Metro Area",12900
26020,"Hobbs, NM Micro Area",30000
26090,"Holland, MI Micro Area",33600
26140,"Homosassa Springs, FL Metro Area",31800
26220,"Hood River, OR Micro Area",90300
26300,"Hot Springs, AR Metro Area",11400
26340,"Houghton, MI Micro Area",21300
26380,"Houma-Thibodaux, LA Metro Area",21600
26420,"Houston-The Woodlands-Sugar Land, TX Metro Area",58800
26460,"Hudson, NY Micro Area",14400
26500,"Huntingdon, PA Micro Area",23800
26540,"Huntington, IN Micro Area",9300
26580,"Huntington-Ashland, WV-KY-OH Metro Area",18000
26620,"Huntsville, AL Metro Area",23300
26660,"Huntsville, TX Micro Area",55500
26700,"Huron, SD Micro Area",20200
26740,"Hutchinson, KS Micro Area",12000
26780,"Hutchinson, MN Micro Area",22900
26820,"Idaho Falls, ID Metro Area",50000
26860,"Indiana, PA Micro Area",17100
26900,"Indianapolis-Carmel-Anderson, IN Metro Area",30500
26940,"Indianola, MS Micro Area",16300
26980,"Iowa City, IA Metro Area",45900
27020,"Iron Mountain, MI-WI Micro Area",22700
27060,"Ithaca, NY Metro Area",42200
27100,"Jackson, MI Metro Area",27400
27140,"Jackson, MS Metro Area",15000
27160,"Jackson, OH Micro Area",14400
27180,"Jackson, TN Metro Area",10400
27220,"Jackson, WY-ID Micro Area",112800
27260,"Jacksonville, FL Metro Area",61900
27300,"Jacksonville, IL Micro Area",10900
27340,"Jacksonville, NC Metro Area",8400
27380,"Jacksonville, TX Micro Area",27100
27420,"Jamestown, ND Micro Area",47700
27460,"Jamestown-Dunkirk-Fredonia, NY Micro Area",8400
27500,"Janesville-Beloit, WI Metro Area",25000
27540,"Jasper, IN Micro Area",24500
27580,"Jayuya, PR Micro Area",2400
27600,"Jefferson, GA Micro Area",54400
27620,"Jefferson City, MO Metro Area",23700
27700,"Jesup, GA Micro Area",24600
27740,"Johnson City, TN Metro Area",22400
