"GISJOIN","CBSA","chg_white_2010_2020","chg_black_2010_2020","chg_aiak_2010_2020","chg_asian_2010_2020","chg_nhpi_2010_2020","chg_other_2010_2020","chg_twoplus_2010_2020"
"G15420","Burley, ID Micro Area",-2484.22,-34,112,1,33,2039,3580
"G15460","Burlington, IA-IL Micro Area",-4646,499,-24,115,1,258,1438
"G15500","Burlington, NC Metro Area",-1667.78999999999,5605,405,1009,47,6141.07,8580.06
"G15540","Burlington-South Burlington, VT Metro Area",-555.950000000012,1742,-51.85,2946.01,3,1139,9088.29
"G15580","Butte-Silver Bow, MT Micro Area",-484.759999999998,21,-90,54,-3,105,1341
"G15620","Cadillac, MI Micro Area",-799,54,-40,-9,-17,247,1705
"G15660","Calhoun, GA Micro Area",-1937.97,140.45,156,181.92,-50,324.86,3496.8
"G15700","Cambridge, MD Micro Area",-1937,98,20,54,0,495,1183
"G15740","Cambridge, OH Micro Area",-2588,-55,-6,44,-2,108,850
"G15780","Camden, AR Micro Area",-3151.01,-1848,-20,26,6,43,845
"G15820","Campbellsville, KY Micro Area",399,39,1,117,0,192,763
"G15860","Cañon City, CO Micro Area",-2260,5,40,56,8,1754,2512
"G15900","Canton, IL Micro Area",-3822.03,-144,-68,-43,4,-121,734
"G15940","Canton-Massillon, OH Metro Area",-22734,564.16,187,431,38,2428,16233.44
"G15980","Cape Coral-Fort Myers, FL Metro Area",17142.88,7847,1635,4629,-68,26571.16,84313.45
"G16020","Cape Girardeau-Jackson, MO-IL Metro Area",-3081.00999999999,-118,-5,403,-11,171,3883
"G16060","Carbondale, IL Micro Area",-8703.87,-991,-19,146,-1,446,1879.01
"G16100","Carlsbad-Artesia, NM Micro Area",-5401,234,112,241,39,3196.01,10064.01
"G16180","Carson City, NV Metro Area",-4955,88,153,235,34,1888,5922
"G16220","Casper, WY Metro Area",-696,126,272,139,53,455,4156
"G16260","Cedar City, UT Micro Area",7389,181,72,292,105,619,2468
"G16300","Cedar Rapids, IA Metro Area",-3208.01999999999,8148,-23,1554,348,1701,10060
"G16340","Cedartown, GA Micro Area",-725,22,210,-41,-10,235,1687
"G16380","Celina, OH Micro Area",296,103,-19,8,495,110,721
"G16420","Central City, KY Micro Area",-1148,-211,19,16,-2,103,652
"G16460","Centralia, IL Micro Area",-3294,-43,-6,125,-5,78,1437
"G16500","Centralia, WA Micro Area",105.830000000002,159,117.01,159.83,41,1175.65,4926.57
"G16540","Chambersburg, PA Micro Area",-3194,638,186,132,23,2301,6177
"G16580","Champaign-Urbana, IL Metro Area",-20437.05,3745,228,6576,-55,3578,10545.99
"G16620","Charleston, WV Metro Area",-25590.86,-306,-11,342,-8,1087,8640.01
"G16660","Charleston-Mattoon, IL Micro Area",-10062.54,6,15,88,18,609,1719
"G16700","Charleston-North Charleston-Summerville, SC Metro Area",75847,-295,1088,5516,122,14492,38259
"G16740","Charlotte-Gastonia-Rock Hill, NC-SC Metro Area",38227.47,81067.87,3838,50864.3,130,61130.83,118483.28
