GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATEA,COUNTYA,COUSUBA,PLACEA,TRACTA,BLKGRPA,CONCITA,AIANHHA,RES_ONLYA,TRUSTA,AIHHTLI,AITSCEA,ANRCA,CBSA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SLDUA,SLDLA,ZCTA5A,SUBMCDA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,BTTRA,BTBGA,NAME_E,ADRWE001,NAME_M,ADRWM001
"G25060","2011-2015","US",,,,,,,,,,,,,,,,"Gulfport-Biloxi-Pascagoula, MS Metro Area","25060",,,,,,,,,,,,,,,,,"31000US25060",,,"Gulfport-Biloxi-Pascagoula, MS Metro Area",130600,"Gulfport-Biloxi-Pascagoula, MS Metro Area",2470
"G25100","2011-2015","US",,,,,,,,,,,,,,,,"Guymon, OK Micro Area","25100",,,,,,,,,,,,,,,,,"31000US25100",,,"Guymon, OK Micro Area",92700,"Guymon, OK Micro Area",4807
"G25180","2011-2015","US",,,,,,,,,,,,,,,,"Hagerstown-Martinsburg, MD-WV Metro Area","25180",,,,,,,,,,,,,,,,,"31000US25180",,,"Hagerstown-Martinsburg, MD-WV Metro Area",180100,"Hagerstown-Martinsburg, MD-WV Metro Area",2874
"G25200","2011-2015","US",,,,,,,,,,,,,,,,"Hailey, ID Micro Area","25200",,,,,,,,,,,,,,,,,"31000US25200",,,"Hailey, ID Micro Area",303600,"Hailey, ID Micro Area",21180
"G25220","2011-2015","US",,,,,,,,,,,,,,,,"Hammond, LA Metro Area","25220",,,,,,,,,,,,,,,,,"31000US25220",,,"Hammond, LA Metro Area",137500,"Hammond, LA Metro Area",5263
"G25260","2011-2015","US",,,,,,,,,,,,,,,,"Hanford-Corcoran, CA Metro Area","25260",,,,,,,,,,,,,,,,,"31000US25260",,,"Hanford-Corcoran, CA Metro Area",169500,"Hanford-Corcoran, CA Metro Area",3251
"G25300","2011-2015","US",,,,,,,,,,,,,,,,"Hannibal, MO Micro Area","25300",,,,,,,,,,,,,,,,,"31000US25300",,,"Hannibal, MO Micro Area",106200,"Hannibal, MO Micro Area",4212
"G25420","2011-2015","US",,,,,,,,,,,,,,,,"Harrisburg-Carlisle, PA Metro Area","25420",,,,,,,,,,,,,,,,,"31000US25420",,,"Harrisburg-Carlisle, PA Metro Area",170700,"Harrisburg-Carlisle, PA Metro Area",1147
"G25460","2011-2015","US",,,,,,,,,,,,,,,,"Harrison, AR Micro Area","25460",,,,,,,,,,,,,,,,,"31000US25460",,,"Harrison, AR Micro Area",104900,"Harrison, AR Micro Area",4285
"G25500","2011-2015","US",,,,,,,,,,,,,,,,"Harrisonburg, VA Metro Area","25500",,,,,,,,,,,,,,,,,"31000US25500",,,"Harrisonburg, VA Metro Area",197900,"Harrisonburg, VA Metro Area",3063
