GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATEA,COUNTYA,COUSUBA,PLACEA,TRACTA,BLKGRPA,CONCITA,AIANHHA,RES_ONLYA,TRUSTA,AIHHTLI,AITSCEA,ANRCA,CBSA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SLDUA,SLDLA,SUBMCDA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,BTTRA,BTBGA,NAME_E,JTIE001,NAME_M,JTIM001
"G40860","2006-2010","US",,,,,,,,,,,,,,,,"Rutland, VT Micro Area","40860",,,,,,,,,,,,,,,,"31000US40860",,,"Rutland, VT Micro Area",172100,"Rutland, VT Micro Area",3177
"G40900","2006-2010","US",,,,,,,,,,,,,,,,"Sacramento--Arden-Arcade--Roseville, CA Metro Area","40900",,,,,,,,,,,,,,,,"31000US40900",,,"Sacramento--Arden-Arcade--Roseville, CA Metro Area",357700,"Sacramento--Arden-Arcade--Roseville, CA Metro Area",1314
"G40940","2006-2010","US",,,,,,,,,,,,,,,,"Safford, AZ Micro Area","40940",,,,,,,,,,,,,,,,"31000US40940",,,"Safford, AZ Micro Area",108400,"Safford, AZ Micro Area",6115
"G40980","2006-2010","US",,,,,,,,,,,,,,,,"Saginaw-Saginaw Township North, MI Metro Area","40980",,,,,,,,,,,,,,,,"31000US40980",,,"Saginaw-Saginaw Township North, MI Metro Area",110000,"Saginaw-Saginaw Township North, MI Metro Area",1928
"G41060","2006-2010","US",,,,,,,,,,,,,,,,"St. Cloud, MN Metro Area","41060",,,,,,,,,,,,,,,,"31000US41060",,,"St. Cloud, MN Metro Area",173600,"St. Cloud, MN Metro Area",1639
"G41100","2006-2010","US",,,,,,,,,,,,,,,,"St. George, UT Metro Area","41100",,,,,,,,,,,,,,,,"31000US41100",,,"St. George, UT Metro Area",240900,"St. George, UT Metro Area",4333
"G41140","2006-2010","US",,,,,,,,,,,,,,,,"St. Joseph, MO-KS Metro Area","41140",,,,,,,,,,,,,,,,"31000US41140",,,"St. Joseph, MO-KS Metro Area",109300,"St. Joseph, MO-KS Metro Area",2456
"G41180","2006-2010","US",,,,,,,,,,,,,,,,"St. Louis, MO-IL Metro Area","41180",,,,,,,,,,,,,,,,"31000US41180",,,"St. Louis, MO-IL Metro Area",159800,"St. Louis, MO-IL Metro Area",618
"G41220","2006-2010","US",,,,,,,,,,,,,,,,"St. Marys, GA Micro Area","41220",,,,,,,,,,,,,,,,"31000US41220",,,"St. Marys, GA Micro Area",161900,"St. Marys, GA Micro Area",4237
"G41260","2006-2010","US",,,,,,,,,,,,,,,,"St. Marys, PA Micro Area","41260",,,,,,,,,,,,,,,,"31000US41260",,,"St. Marys, PA Micro Area",91300,"St. Marys, PA Micro Area",3637
"G41420","2006-2010","US",,,,,,,,,,,,,,,,"Salem, OR Metro Area","41420",,,,,,,,,,,,,,,,"31000US41420",,,"Salem, OR Metro Area",209800,"Salem, OR Metro Area",2458
"G41460","2006-2010","US",,,,,,,,,,,,,,,,"Salina, KS Micro Area","41460",,,,,,,,,,,,,,,,"31000US41460",,,"Salina, KS Micro Area",110400,"Salina, KS Micro Area",2848
"G41500","2006-2010","US",,,,,,,,,,,,,,,,"Salinas, CA Metro Area","41500",,,,,,,,,,,,,,,,"31000US41500",,,"Salinas, CA Metro Area",566300,"Salinas, CA Metro Area",8719
"G41540","2006-2010","US",,,,,,,,,,,,,,,,"Salisbury, MD Metro Area","41540",,,,,,,,,,,,,,,,"31000US41540",,,"Salisbury, MD Metro Area",188900,"Salisbury, MD Metro Area",3844
"G41580","2006-2010","US",,,,,,,,,,,,,,,,"Salisbury, NC Micro Area","41580",,,,,,,,,,,,,,,,"31000US41580",,,"Salisbury, NC Micro Area",125100,"Salisbury, NC Micro Area",3111
"G41620","2006-2010","US",,,,,,,,,,,,,,,,"Salt Lake City, UT Metro Area","41620",,,,,,,,,,,,,,,,"31000US41620",,,"Salt Lake City, UT Metro Area",237200,"Salt Lake City, UT Metro Area",1194
"G41660","2006-2010","US",,,,,,,,,,,,,,,,"San Angelo, TX Metro Area","41660",,,,,,,,,,,,,,,,"31000US41660",,,"San Angelo, TX Metro Area",88300,"San Angelo, TX Metro Area",2460
"G41700","2006-2010","US",,,,,,,,,,,,,,,,"San Antonio-New Braunfels, TX Metro Area","41700",,,,,,,,,,,,,,,,"31000US41700",,,"San Antonio-New Braunfels, TX Metro Area",122200,"San Antonio-New Braunfels, TX Metro Area",735
"G41740","2006-2010","US",,,,,,,,,,,,,,,,"San Diego-Carlsbad-San Marcos, CA Metro Area","41740",,,,,,,,,,,,,,,,"31000US41740",,,"San Diego-Carlsbad-San Marcos, CA Metro Area",486000,"San Diego-Carlsbad-San Marcos, CA Metro Area",1855
"G41780","2006-2010","US",,,,,,,,,,,,,,,,"Sandusky, OH Metro Area","41780",,,,,,,,,,,,,,,,"31000US41780",,,"Sandusky, OH Metro Area",138100,"Sandusky, OH Metro Area",3231
"G41820","2006-2010","US",,,,,,,,,,,,,,,,"Sanford, NC Micro Area","41820",,,,,,,,,,,,,,,,"31000US41820",,,"Sanford, NC Micro Area",127800,"Sanford, NC Micro Area",5073
"G41860","2006-2010","US",,,,,,,,,,,,,,,,"San Francisco-Oakland-Fremont, CA Metro Area","41860",,,,,,,,,,,,,,,,"31000US41860",,,"San Francisco-Oakland-Fremont, CA Metro Area",655000,"San Francisco-Oakland-Fremont, CA Metro Area",1941
"G41900","2006-2010","PR",,,,,,,,,,,,,,,,"San Germán-Cabo Rojo, PR Metro Area","41900",,,,,,,,,,,,,,,,"31000US41900",,,"San Germán-Cabo Rojo, PR Metro Area",94000,"San Germán-Cabo Rojo, PR Metro Area",1167
"G41940","2006-2010","US",,,,,,,,,,,,,,,,"San Jose-Sunnyvale-Santa Clara, CA Metro Area","41940",,,,,,,,,,,,,,,,"31000US41940",,,"San Jose-Sunnyvale-Santa Clara, CA Metro Area",696200,"San Jose-Sunnyvale-Santa Clara, CA Metro Area",3125
"G41980","2006-2010","PR",,,,,,,,,,,,,,,,"San Juan-Caguas-Guaynabo, PR Metro Area","41980",,,,,,,,,,,,,,,,"31000US41980",,,"San Juan-Caguas-Guaynabo, PR Metro Area",124700,"San Juan-Caguas-Guaynabo, PR Metro Area",665
"G42020","2006-2010","US",,,,,,,,,,,,,,,,"San Luis Obispo-Paso Robles, CA Metro Area","42020",,,,,,,,,,,,,,,,"31000US42020",,,"San Luis Obispo-Paso Robles, CA Metro Area",513900,"San Luis Obispo-Paso Robles, CA Metro Area",10595
"G42060","2006-2010","US",,,,,,,,,,,,,,,,"Santa Barbara-Santa Maria-Goleta, CA Metro Area","42060",,,,,,,,,,,,,,,,"31000US42060",,,"Santa Barbara-Santa Maria-Goleta, CA Metro Area",576500,"Santa Barbara-Santa Maria-Goleta, CA Metro Area",13070
"G42100","2006-2010","US",,,,,,,,,,,,,,,,"Santa Cruz-Watsonville, CA Metro Area","42100",,,,,,,,,,,,,,,,"31000US42100",,,"Santa Cruz-Watsonville, CA Metro Area",648700,"Santa Cruz-Watsonville, CA Metro Area",8084
"G42140","2006-2010","US",,,,,,,,,,,,,,,,"Santa Fe, NM Metro Area","42140",,,,,,,,,,,,,,,,"31000US42140",,,"Santa Fe, NM Metro Area",291700,"Santa Fe, NM Metro Area",5540
"G42180","2006-2010","PR",,,,,,,,,,,,,,,,"Santa Isabel, PR Micro Area","42180",,,,,,,,,,,,,,,,"31000US42180",,,"Santa Isabel, PR Micro Area",94500,"Santa Isabel, PR Micro Area",2702
"G42220","2006-2010","US",,,,,,,,,,,,,,,,"Santa Rosa-Petaluma, CA Metro Area","42220",,,,,,,,,,,,,,,,"31000US42220",,,"Santa Rosa-Petaluma, CA Metro Area",524400,"Santa Rosa-Petaluma, CA Metro Area",5801
"G42300","2006-2010","US",,,,,,,,,,,,,,,,"Sault Ste. Marie, MI Micro Area","42300",,,,,,,,,,,,,,,,"31000US42300",,,"Sault Ste. Marie, MI Micro Area",103100,"Sault Ste. Marie, MI Micro Area",3760
