GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUBA,PLACEA,TRACTA,BLKGRPA,CONCITA,AIANHHA,RES_ONLYA,TRUSTA,AIHHTLI,AITSCEA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SLDUA,SLDLA,ZCTA5A,SUBMCDA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,BTTRA,BTBGA,NAME_E,ADRWE001,NAME_M,ADRWM001
"G53003300319033","2011-2015","WA",,,"Washington","53","King County","033",,,"031903","3",,,,,,,,,,,,,,,,,,,,,,,,,"15000US530330319033",,,"Block Group 3, Census Tract 319.03, King County, Washington",352900,"Block Group 3, Census Tract 319.03, King County, Washington",28626
"G53003300319034","2011-2015","WA",,,"Washington","53","King County","033",,,"031903","4",,,,,,,,,,,,,,,,,,,,,,,,,"15000US530330319034",,,"Block Group 4, Census Tract 319.03, King County, Washington",316900,"Block Group 4, Census Tract 319.03, King County, Washington",64117
"G53003300319035","2011-2015","WA",,,"Washington","53","King County","033",,,"031903","5",,,,,,,,,,,,,,,,,,,,,,,,,"15000US530330319035",,,"Block Group 5, Census Tract 319.03, King County, Washington",299600,"Block Group 5, Census Tract 319.03, King County, Washington",108020
"G53003300319041","2011-2015","WA",,,"Washington","53","King County","033",,,"031904","1",,,,,,,,,,,,,,,,,,,,,,,,,"15000US530330319041",,,"Block Group 1, Census Tract 319.04, King County, Washington",458400,"Block Group 1, Census Tract 319.04, King County, Washington",62118
"G53003300319042","2011-2015","WA",,,"Washington","53","King County","033",,,"031904","2",,,,,,,,,,,,,,,,,,,,,,,,,"15000US530330319042",,,"Block Group 2, Census Tract 319.04, King County, Washington",296700,"Block Group 2, Census Tract 319.04, King County, Washington",32446
"G53003300319043","2011-2015","WA",,,"Washington","53","King County","033",,,"031904","3",,,,,,,,,,,,,,,,,,,,,,,,,"15000US530330319043",,,"Block Group 3, Census Tract 319.04, King County, Washington",351700,"Block Group 3, Census Tract 319.04, King County, Washington",33785
"G53003300319061","2011-2015","WA",,,"Washington","53","King County","033",,,"031906","1",,,,,,,,,,,,,,,,,,,,,,,,,"15000US530330319061",,,"Block Group 1, Census Tract 319.06, King County, Washington",283100,"Block Group 1, Census Tract 319.06, King County, Washington",32445
"G53003300319062","2011-2015","WA",,,"Washington","53","King County","033",,,"031906","2",,,,,,,,,,,,,,,,,,,,,,,,,"15000US530330319062",,,"Block Group 2, Census Tract 319.06, King County, Washington",458100,"Block Group 2, Census Tract 319.06, King County, Washington",22208
"G53003300319071","2011-2015","WA",,,"Washington","53","King County","033",,,"031907","1",,,,,,,,,,,,,,,,,,,,,,,,,"15000US530330319071",,,"Block Group 1, Census Tract 319.07, King County, Washington",339700,"Block Group 1, Census Tract 319.07, King County, Washington",21120
"G53003300319072","2011-2015","WA",,,"Washington","53","King County","033",,,"031907","2",,,,,,,,,,,,,,,,,,,,,,,,,"15000US530330319072",,,"Block Group 2, Census Tract 319.07, King County, Washington",364300,"Block Group 2, Census Tract 319.07, King County, Washington",22605
"G53003300319073","2011-2015","WA",,,"Washington","53","King County","033",,,"031907","3",,,,,,,,,,,,,,,,,,,,,,,,,"15000US530330319073",,,"Block Group 3, Census Tract 319.07, King County, Washington",270800,"Block Group 3, Census Tract 319.07, King County, Washington",57681
"G53003300319074","2011-2015","WA",,,"Washington","53","King County","033",,,"031907","4",,,,,,,,,,,,,,,,,,,,,,,,,"15000US530330319074",,,"Block Group 4, Census Tract 319.07, King County, Washington",330700,"Block Group 4, Census Tract 319.07, King County, Washington",22971
"G53003300319075","2011-2015","WA",,,"Washington","53","King County","033",,,"031907","5",,,,,,,,,,,,,,,,,,,,,,,,,"15000US530330319075",,,"Block Group 5, Census Tract 319.07, King County, Washington",360800,"Block Group 5, Census Tract 319.07, King County, Washington",21895
"G53003300319081","2011-2015","WA",,,"Washington","53","King County","033",,,"031908","1",,,,,,,,,,,,,,,,,,,,,,,,,"15000US530330319081",,,"Block Group 1, Census Tract 319.08, King County, Washington",293300,"Block Group 1, Census Tract 319.08, King County, Washington",31173
"G53003300319082","2011-2015","WA",,,"Washington","53","King County","033",,,"031908","2",,,,,,,,,,,,,,,,,,,,,,,,,"15000US530330319082",,,"Block Group 2, Census Tract 319.08, King County, Washington",235200,"Block Group 2, Census Tract 319.08, King County, Washington",21090
"G53003300319083","2011-2015","WA",,,"Washington","53","King County","033",,,"031908","3",,,,,,,,,,,,,,,,,,,,,,,,,"15000US530330319083",,,"Block Group 3, Census Tract 319.08, King County, Washington",321800,"Block Group 3, Census Tract 319.08, King County, Washington",47031
"G53003300319091","2011-2015","WA",,,"Washington","53","King County","033",,,"031909","1",,,,,,,,,,,,,,,,,,,,,,,,,"15000US530330319091",,,"Block Group 1, Census Tract 319.09, King County, Washington",334600,"Block Group 1, Census Tract 319.09, King County, Washington",13588
"G53003300319092","2011-2015","WA",,,"Washington","53","King County","033",,,"031909","2",,,,,,,,,,,,,,,,,,,,,,,,,"15000US530330319092",,,"Block Group 2, Census Tract 319.09, King County, Washington",364200,"Block Group 2, Census Tract 319.09, King County, Washington",23167
"G53003300320021","2011-2015","WA",,,"Washington","53","King County","033",,,"032002","1",,,,,,,,,,,,,,,,,,,,,,,,,"15000US530330320021",,,"Block Group 1, Census Tract 320.02, King County, Washington",389500,"Block Group 1, Census Tract 320.02, King County, Washington",56090
"G53003300320022","2011-2015","WA",,,"Washington","53","King County","033",,,"032002","2",,,,,,,,,,,,,,,,,,,,,,,,,"15000US530330320022",,,"Block Group 2, Census Tract 320.02, King County, Washington",520700,"Block Group 2, Census Tract 320.02, King County, Washington",69001
"G53003300320031","2011-2015","WA",,,"Washington","53","King County","033",,,"032003","1",,,,,,,,,,,,,,,,,,,,,,,,,"15000US530330320031",,,"Block Group 1, Census Tract 320.03, King County, Washington",424000,"Block Group 1, Census Tract 320.03, King County, Washington",54202
"G53003300320032","2011-2015","WA",,,"Washington","53","King County","033",,,"032003","2",,,,,,,,,,,,,,,,,,,,,,,,,"15000US530330320032",,,"Block Group 2, Census Tract 320.03, King County, Washington",364100,"Block Group 2, Census Tract 320.03, King County, Washington",39421
"G53003300320033","2011-2015","WA",,,"Washington","53","King County","033",,,"032003","3",,,,,,,,,,,,,,,,,,,,,,,,,"15000US530330320033",,,"Block Group 3, Census Tract 320.03, King County, Washington",445900,"Block Group 3, Census Tract 320.03, King County, Washington",57693
"G53003300320034","2011-2015","WA",,,"Washington","53","King County","033",,,"032003","4",,,,,,,,,,,,,,,,,,,,,,,,,"15000US530330320034",,,"Block Group 4, Census Tract 320.03, King County, Washington",397900,"Block Group 4, Census Tract 320.03, King County, Washington",81672
"G53003300320051","2011-2015","WA",,,"Washington","53","King County","033",,,"032005","1",,,,,,,,,,,,,,,,,,,,,,,,,"15000US530330320051",,,"Block Group 1, Census Tract 320.05, King County, Washington",255300,"Block Group 1, Census Tract 320.05, King County, Washington",35529
"G53003300320052","2011-2015","WA",,,"Washington","53","King County","033",,,"032005","2",,,,,,,,,,,,,,,,,,,,,,,,,"15000US530330320052",,,"Block Group 2, Census Tract 320.05, King County, Washington",225700,"Block Group 2, Census Tract 320.05, King County, Washington",16938
